id,cluster_id,irradiance,farm_type,capacity,capacity_factor,power_generation,estimated_cost
6377,13,5.829930782,medium_residential,0.01,0.243,21.27924735,26600
6378,13,5.822145462,large_community,5.0,0.243,10625.41547,13300000
6379,13,5.822145462,small_residential,0.005,0.243,10.62541547,13300
6380,13,5.716091156,large_community,5.0,0.238,10431.86636,13300000
6381,13,5.696373463,medium_residential,0.01,0.237,20.79176314,26600
6382,13,5.724714756,small_community,0.15,0.239,313.4281329,399000
6383,0,5.457979679,large_community,5.0,0.227,9960.812914,13300000
6384,0,5.465146542,medium_community,2.0,0.228,3989.556976,5320000
6385,0,5.440702915,large_community,5.0,0.227,9929.28282,13300000
6386,0,5.440702915,small_residential,0.005,0.227,9.92928282,13300
6387,15,5.27455759,medium_utility,500.0,0.22,962606.7602,1330000000
6388,15,5.276445389,medium_utility,500.0,0.22,962951.2835,1330000000
6389,15,5.276445389,small_utility,5.0,0.22,9629.512835,13300000
6390,15,5.209667206,large_utility,2000.0,0.217,3803057.06,5320000000
6391,15,5.209667206,medium_community,2.0,0.217,3803.05706,5320000
6392,15,5.211698055,medium_community,2.0,0.217,3804.53958,5320000
6393,15,5.248232841,small_residential,0.005,0.219,9.578024935,13300
6394,15,5.248232841,medium_community,2.0,0.219,3831.209974,5320000
6395,15,5.243480206,large_utility,2000.0,0.218,3827740.55,5320000000
6396,4,5.107612133,large_utility,2000.0,0.213,3728556.857,5320000000
6397,4,5.214226723,large_utility,2000.0,0.217,3806385.508,5320000000
6398,4,5.352624416,small_residential,0.005,0.223,9.768539559,13300
6399,4,5.410402298,medium_community,2.0,0.225,3949.593678,5320000
6400,4,5.389183521,medium_community,2.0,0.225,3934.10397,5320000
6401,4,5.389183521,medium_community,2.0,0.225,3934.10397,5320000
6402,1,6.408552647,small_community,0.15,0.267,350.8682574,399000
6403,1,6.408260822,medium_community,2.0,0.267,4678.0304,5320000
6404,1,6.408260822,medium_community,2.0,0.267,4678.0304,5320000
6405,1,6.491575718,large_utility,2000.0,0.27,4738850.274,5320000000
6406,9,6.391033649,small_residential,0.005,0.266,11.66363641,13300
6407,9,6.400716782,medium_utility,500.0,0.267,1168130.813,1330000000
