id,lat,long,state,farm_type,irradiance,lcoe,capacity,capacity_factor,power_generation,estimated_cost
69,26.456909,-97.728638,Texas,large_community,5.646012783,39,5.0,0.235,10303.97333,13300000
70,26.457287,-97.708893,Texas,large_community,5.610660076,39,5.0,0.234,10239.45464,13300000
71,26.457668,-97.689148,Texas,small_utility,5.610660076,39,5.0,0.234,10239.45464,13300000
72,26.458038,-97.669403,Texas,large_utility,5.69562912,39,2000.0,0.237,4157809.258,5320000000
73,26.458393,-97.649658,Texas,small_utility,5.69562912,39,5.0,0.237,10394.52314,13300000
74,26.441883,-98.973114,Texas,small_community,5.865982056,39,0.15,0.244,321.1625176,399000
75,26.442532,-98.953369,Texas,large_community,5.917598724,39,5.0,0.247,10799.61767,13300000
76,26.474594,-97.729065,Texas,small_community,5.633881092,39,0.15,0.235,308.4549898,399000
77,26.474976,-97.70932,Texas,large_residential,5.600736141,39,0.015,0.233,30.66403037,39900
78,26.475349,-97.689575,Texas,medium_residential,5.600736141,39,0.01,0.233,20.44268691,26600
79,26.475712,-97.6698,Texas,large_community,5.670271397,39,5.0,0.236,10348.2453,13300000
80,26.476097,-97.650055,Texas,small_community,5.670271397,39,0.15,0.236,310.447359,399000
81,26.458904,-98.993591,Texas,large_community,5.865982056,39,5.0,0.244,10705.41725,13300000
82,26.459553,-98.973846,Texas,large_residential,5.865982056,39,0.015,0.244,32.11625176,39900
83,26.460209,-98.954102,Texas,medium_residential,5.917598724,39,0.01,0.247,21.59923534,26600
84,26.491894,-97.749268,Texas,medium_utility,5.633881092,39,500.0,0.235,1028183.299,1330000000
85,26.492275,-97.729492,Texas,medium_utility,5.633881092,39,500.0,0.235,1028183.299,1330000000
86,26.492661,-97.709747,Texas,large_community,5.600736141,39,5.0,0.233,10221.34346,13300000
87,26.493034,-97.690002,Texas,small_residential,5.600736141,39,0.005,0.233,10.22134346,13300
88,26.493404,-97.670227,Texas,large_utility,5.670271397,39,2000.0,0.236,4139298.12,5320000000
89,26.493767,-97.650452,Texas,small_utility,5.670271397,39,5.0,0.236,10348.2453,13300000
90,26.494133,-97.630707,Texas,medium_residential,5.68944788,39,0.01,0.237,20.76648476,26600
91,26.476582,-98.994324,Texas,large_community,5.878709316,39,5.0,0.245,10728.6445,13300000
92,26.477222,-98.974579,Texas,medium_residential,5.878709316,39,0.01,0.245,21.457289,26600
93,26.479176,-98.915344,Texas,medium_community,5.847761631,39,2.0,0.244,4268.865991,5320000
94,26.503742,-98.026367,Texas,medium_community,5.722691059,39,2.0,0.238,4177.564473,5320000
95,26.504189,-98.006622,Texas,large_utility,5.722691059,39,2000.0,0.238,4177564.473,5320000000
96,26.509583,-97.749695,Texas,medium_residential,5.633881092,39,0.01,0.235,20.56366599,26600
97,26.509972,-97.729919,Texas,small_residential,5.633881092,39,0.005,0.235,10.28183299,13300
98,26.510357,-97.710175,Texas,large_utility,5.64455986,39,2000.0,0.235,4120528.698,5320000000
99,26.511463,-97.650879,Texas,large_utility,5.6929245,39,2000.0,0.237,4155834.885,5320000000
100,26.494244,-98.995056,Texas,small_residential,5.878709316,39,0.005,0.245,10.7286445,13300
101,26.494907,-98.975311,Texas,large_community,5.878709316,39,5.0,0.245,10728.6445,13300000
102,26.496861,-98.916046,Texas,small_utility,5.847761631,39,5.0,0.244,10672.16498,13300000
103,26.497494,-98.896301,Texas,small_utility,5.847761631,39,5.0,0.244,10672.16498,13300000
104,26.520977,-98.046631,Texas,small_residential,5.697517872,39,0.005,0.237,10.39797012,13300
105,26.52142,-98.026855,Texas,medium_residential,5.674033642,39,0.01,0.236,20.71022279,26600
106,26.521866,-98.007111,Texas,medium_community,5.674033642,39,2.0,0.236,4142.044559,5320000
107,26.511929,-98.995789,Texas,medium_utility,5.865236759,39,500.0,0.244,1070405.709,1330000000
108,26.512589,-98.976044,Texas,medium_community,5.865236759,39,2.0,0.244,4281.622834,5320000
109,26.513885,-98.936523,Texas,large_residential,5.847581863,39,0.015,0.244,32.0155107,39900
110,26.514542,-98.916779,Texas,large_utility,5.747884274,39,2000.0,0.239,4195955.52,5320000000
111,26.539116,-98.027374,Texas,large_residential,5.674033642,39,0.015,0.236,31.06533419,39900
112,26.539562,-98.007599,Texas,small_community,5.674033642,39,0.15,0.236,310.6533419,399000
113,25.230484,-80.650879,Florida,large_residential,5.743431568,36,0.015,0.239,31.44528783,39900
114,26.530258,-98.976776,Texas,medium_residential,5.865236759,39,0.01,0.244,21.40811417,26600
115,26.531563,-98.937256,Texas,medium_residential,5.847581863,39,0.01,0.244,21.3436738,26600
116,26.532219,-98.91748,Texas,small_residential,5.747884274,39,0.005,0.239,10.4898888,13300
117,26.549255,-98.937988,Texas,small_community,5.847581863,39,0.15,0.244,320.155107,399000
118,26.549889,-98.918213,Texas,small_residential,5.747884274,39,0.005,0.239,10.4898888,13300
119,26.550545,-98.898438,Texas,medium_utility,5.785480022,39,500.0,0.241,1055850.104,1330000000
120,26.566936,-98.938721,Texas,large_community,5.886380672,39,5.0,0.245,10742.64473,13300000
121,26.567585,-98.918945,Texas,medium_utility,5.785480022,39,500.0,0.241,1055850.104,1330000000
122,26.568222,-98.89917,Texas,large_community,5.785480022,39,5.0,0.241,10558.50104,13300000
123,25.248528,-80.449097,Florida,large_residential,5.944894791,36,0.015,0.248,32.54829898,39900
124,26.584621,-98.939453,Texas,large_community,5.886380672,39,5.0,0.245,10742.64473,13300000
125,26.585262,-98.919647,Texas,small_residential,5.785480022,39,0.005,0.241,10.55850104,13300
126,26.585911,-98.899872,Texas,small_residential,5.785480022,39,0.005,0.241,10.55850104,13300
127,26.588432,-98.82077,Texas,large_community,5.806488514,39,5.0,0.242,10596.84154,13300000
128,26.589054,-98.800995,Texas,large_utility,5.806488514,39,2000.0,0.242,4238736.615,5320000000
129,26.614948,-97.79187,Texas,large_utility,5.634592056,39,2000.0,0.235,4113252.201,5320000000
130,25.368973,-81.037201,Florida,small_utility,5.651126385,36,5.0,0.235,10313.30565,13300000
131,26.606121,-98.821472,Texas,large_utility,5.740752697,39,2000.0,0.239,4190749.469,5320000000
132,26.606743,-98.801697,Texas,medium_residential,5.740752697,39,0.01,0.239,20.95374734,26600
133,26.607365,-98.781891,Texas,medium_utility,5.778432369,39,500.0,0.241,1054563.907,1330000000
134,26.632248,-97.812134,Texas,small_utility,5.501383305,39,5.0,0.229,10040.02453,13300000
135,26.632645,-97.792328,Texas,large_community,5.531303883,39,5.0,0.23,10094.62959,13300000
136,26.633026,-97.772522,Texas,medium_utility,5.531303883,39,500.0,0.23,1009462.959,1330000000
137,26.614647,-99.099182,Texas,large_community,5.842740536,39,5.0,0.243,10663.00148,13300000
138,26.623817,-98.822174,Texas,medium_residential,5.740752697,39,0.01,0.239,20.95374734,26600
139,26.624439,-98.802368,Texas,small_utility,5.740752697,39,5.0,0.239,10476.87367,13300000
140,26.649937,-97.812561,Texas,small_community,5.501383305,39,0.15,0.229,301.2007359,399000
141,26.650341,-97.792755,Texas,small_community,5.531303883,39,0.15,0.23,302.8388876,399000
142,25.410988,-80.968933,Florida,large_community,5.531114101,36,5.0,0.23,10094.28323,13300000
143,25.424965,-80.946167,Florida,small_residential,5.590902805,36,0.005,0.233,10.20339762,13300
144,25.48896,-81.111206,Florida,medium_utility,5.622132778,36,500.0,0.234,1026039.232,1330000000
145,25.469383,-80.996338,Florida,large_residential,5.556755066,36,0.015,0.232,30.42323399,39900
146,25.553825,-81.177094,Florida,medium_utility,5.714177608,36,500.0,0.238,1042837.413,1330000000
147,26.797115,-97.518494,Texas,large_community,5.649629593,39,5.0,0.235,10310.57401,13300000
148,26.797783,-97.478821,Texas,large_utility,5.576107502,39,2000.0,0.232,4070558.476,5320000000
149,26.814491,-97.538727,Texas,medium_utility,5.700791836,39,500.0,0.238,1040394.51,1330000000
150,26.831867,-97.55896,Texas,medium_residential,5.515506744,39,0.01,0.23,20.13159962,26600
151,26.84959,-97.559357,Texas,small_community,5.515506744,39,0.15,0.23,301.9739942,399000
152,26.86731,-97.559753,Texas,large_residential,5.515506744,39,0.015,0.23,30.19739942,39900
153,25.620811,-81.043976,Florida,small_community,5.564688206,36,0.15,0.232,304.6666793,399000
154,26.885033,-97.56012,Texas,small_community,5.645912647,39,0.15,0.235,309.1137174,399000
155,25.531357,-80.427124,Florida,large_community,5.736292362,36,5.0,0.239,10468.73356,13300000
156,26.902756,-97.560516,Texas,small_residential,5.645912647,39,0.005,0.235,10.30379058,13300
157,26.903091,-97.540649,Texas,large_utility,5.561819553,39,2000.0,0.232,4060128.274,5320000000
158,25.548622,-80.42334,Florida,small_utility,5.736292362,36,5.0,0.239,10468.73356,13300000
159,25.545227,-80.404236,Florida,medium_community,5.736292362,36,2.0,0.239,4187.493424,5320000
160,26.920467,-97.560913,Texas,small_residential,5.631811142,39,0.005,0.235,10.27805533,13300
161,25.708466,-81.244385,Florida,medium_utility,5.767451763,36,500.0,0.24,1052559.947,1330000000
162,25.698769,-81.186737,Florida,small_utility,5.585693359,36,5.0,0.233,10193.89038,13300000
163,25.565887,-80.419586,Florida,medium_community,5.733324528,36,2.0,0.239,4185.326905,5320000
164,26.921883,-98.316711,Texas,small_community,5.664083481,39,0.15,0.236,310.1085706,399000
165,26.955227,-97.601471,Texas,large_utility,5.554929733,39,2000.0,0.231,4055098.705,5320000000
166,26.955582,-97.581573,Texas,small_community,5.638816833,39,0.15,0.235,308.7252216,399000
167,26.955929,-97.561676,Texas,medium_residential,5.638816833,39,0.01,0.235,20.58168144,26600
168,26.972588,-97.621765,Texas,small_utility,5.554929733,39,5.0,0.231,10137.74676,13300000
169,26.972958,-97.601868,Texas,medium_residential,5.554929733,39,0.01,0.231,20.27549353,26600
170,26.973305,-97.58197,Texas,large_residential,5.638816833,39,0.015,0.235,30.87252216,39900
171,26.973656,-97.562073,Texas,small_utility,5.638816833,39,5.0,0.235,10290.84072,13300000
172,26.973995,-97.542175,Texas,small_utility,5.566592693,39,5.0,0.232,10159.03166,13300000
173,26.989964,-97.642059,Texas,medium_community,5.599429607,39,2.0,0.233,4087.583613,5320000
174,26.990318,-97.622162,Texas,small_residential,5.646305084,39,0.005,0.235,10.30450678,13300
175,26.990681,-97.602264,Texas,medium_community,5.646305084,39,2.0,0.235,4121.802711,5320000
176,26.991032,-97.582367,Texas,medium_utility,5.628505707,39,500.0,0.235,1027202.292,1330000000
177,26.991379,-97.562469,Texas,large_utility,5.628505707,39,2000.0,0.235,4108809.166,5320000000
178,26.991726,-97.542542,Texas,small_utility,5.663019657,39,5.0,0.236,10335.01087,13300000
179,27.00769,-97.642456,Texas,large_residential,5.602842331,39,0.015,0.233,30.67556176,39900
180,27.008053,-97.622559,Texas,medium_residential,5.646305084,39,0.01,0.235,20.60901356,26600
181,27.008411,-97.602661,Texas,small_utility,5.646305084,39,5.0,0.235,10304.50678,13300000
182,27.00877,-97.582764,Texas,large_utility,5.628505707,39,2000.0,0.235,4108809.166,5320000000
183,27.009117,-97.562836,Texas,medium_residential,5.628505707,39,0.01,0.235,20.54404583,26600
184,27.009464,-97.542938,Texas,small_community,5.663019657,39,0.15,0.236,310.0503262,399000
185,27.025795,-97.622955,Texas,medium_utility,5.646305084,39,500.0,0.235,1030450.678,1330000000
186,27.026146,-97.603058,Texas,large_utility,5.646305084,39,2000.0,0.235,4121802.711,5320000000
187,27.026501,-97.58313,Texas,medium_utility,5.628505707,39,500.0,0.235,1027202.292,1330000000
188,27.02684,-97.563232,Texas,small_community,5.628505707,39,0.15,0.235,308.1606875,399000
189,27.027195,-97.543335,Texas,medium_community,5.663019657,39,2.0,0.236,4134.00435,5320000
190,27.043888,-97.603455,Texas,small_residential,5.594479084,39,0.005,0.233,10.20992433,13300
191,27.044231,-97.583527,Texas,medium_utility,5.650405407,39,500.0,0.235,1031198.987,1330000000
192,27.044594,-97.563629,Texas,small_community,5.650405407,39,0.15,0.235,309.359696,399000
193,27.044933,-97.543701,Texas,small_community,5.636257172,39,0.15,0.235,308.5850802,399000
194,27.061962,-97.583923,Texas,large_utility,5.650405407,39,2000.0,0.235,4124795.947,5320000000
195,27.062325,-97.564026,Texas,medium_utility,5.650405407,39,500.0,0.235,1031198.987,1330000000
196,27.06266,-97.544098,Texas,medium_utility,5.636257172,39,500.0,0.235,1028616.934,1330000000
197,27.063,-97.52417,Texas,medium_residential,5.636257172,39,0.01,0.235,20.57233868,26600
198,27.048206,-98.858917,Texas,medium_utility,5.823656559,39,500.0,0.243,1062817.322,1330000000
199,27.048847,-98.83902,Texas,large_residential,5.774646282,39,0.015,0.241,31.61618839,39900
200,27.049461,-98.819092,Texas,large_community,5.774646282,39,5.0,0.241,10538.72946,13300000
201,27.079357,-97.604248,Texas,large_residential,5.557097912,39,0.015,0.232,30.42511107,39900
202,27.079712,-97.58432,Texas,medium_utility,5.611459732,39,500.0,0.234,1024091.401,1330000000
203,27.08007,-97.564392,Texas,large_residential,5.611459732,39,0.015,0.234,30.72274203,39900
204,27.080402,-97.544495,Texas,small_community,5.675049305,39,0.15,0.236,310.7089494,399000
205,27.080753,-97.524536,Texas,medium_community,5.675049305,39,2.0,0.236,4142.785993,5320000
206,27.065937,-98.859619,Texas,small_residential,5.823656559,39,0.005,0.243,10.62817322,13300
207,27.066566,-98.839722,Texas,small_utility,5.774646282,39,5.0,0.241,10538.72946,13300000
208,27.067192,-98.819794,Texas,medium_residential,5.774646282,39,0.01,0.241,21.07745893,26600
209,27.09745,-97.584717,Texas,medium_utility,5.611459732,39,500.0,0.234,1024091.401,1330000000
210,27.097805,-97.564789,Texas,medium_community,5.611459732,39,2.0,0.234,4096.365604,5320000
211,27.098141,-97.544861,Texas,large_community,5.675049305,39,5.0,0.236,10356.96498,13300000
212,27.098484,-97.524933,Texas,large_utility,5.675049305,39,2000.0,0.236,4142785.993,5320000000
213,27.084297,-98.840424,Texas,small_utility,5.809427738,39,5.0,0.242,10602.20562,13300000
214,27.084927,-98.820496,Texas,large_utility,5.768878937,39,2000.0,0.24,4211281.624,5320000000
215,27.108585,-97.92395,Texas,small_community,5.581815243,39,0.15,0.233,305.6043846,399000
216,27.109001,-97.904022,Texas,large_utility,5.525371075,39,2000.0,0.23,4033520.885,5320000000
217,27.109432,-97.884094,Texas,large_residential,5.525371075,39,0.015,0.23,30.25140664,39900
218,27.115196,-97.585114,Texas,medium_residential,5.618663311,39,0.01,0.234,20.50812109,26600
219,27.115551,-97.565186,Texas,medium_utility,5.618663311,39,500.0,0.234,1025406.054,1330000000
220,27.115887,-97.545258,Texas,small_residential,5.667853832,39,0.005,0.236,10.34383324,13300
221,27.126324,-97.924438,Texas,medium_community,5.495424747,39,2.0,0.229,4011.660065,5320000
222,27.126755,-97.90448,Texas,medium_utility,5.585071564,39,500.0,0.233,1019275.56,1330000000
223,27.127178,-97.884552,Texas,medium_residential,5.585071564,39,0.01,0.233,20.38551121,26600
224,27.127579,-97.864624,Texas,medium_community,5.555887699,39,2.0,0.231,4055.79802,5320000
225,25.735397,-80.163147,Florida,small_residential,5.679401398,36,0.005,0.237,10.36490755,13300
226,27.144066,-97.924927,Texas,large_utility,5.495424747,39,2000.0,0.229,4011660.065,5320000000
227,27.144489,-97.904968,Texas,medium_residential,5.585071564,39,0.01,0.233,20.38551121,26600
228,27.144909,-97.88504,Texas,small_utility,5.585071564,39,5.0,0.233,10192.7556,13300000
229,27.142403,-98.683105,Texas,medium_community,5.689155102,39,2.0,0.237,4153.083224,5320000
230,25.797523,-80.30899,Florida,large_utility,5.606077671,36,2000.0,0.234,4092436.7,5320000000
231,25.787216,-80.251404,Florida,small_utility,5.600361347,36,5.0,0.233,10220.65946,13300000
232,25.783775,-80.232208,Florida,small_community,5.740956783,36,0.15,0.239,314.3173839,399000
233,25.780312,-80.213013,Florida,large_community,5.740956783,36,5.0,0.239,10477.24613,13300000
234,27.159546,-98.703674,Texas,large_utility,5.825300217,39,2000.0,0.243,4252469.158,5320000000
235,27.160145,-98.683746,Texas,large_community,5.825300217,39,5.0,0.243,10631.1729,13300000
236,27.160725,-98.663818,Texas,large_community,5.777421474,39,5.0,0.241,10543.79419,13300000
237,26.051334,-81.692474,Florida,small_residential,5.747537613,36,0.005,0.239,10.48925614,13300
238,25.821678,-80.343567,Florida,small_residential,5.582433701,36,0.005,0.233,10.1879415,13300
239,25.818245,-80.324371,Florida,large_residential,5.582433701,36,0.015,0.233,30.56382451,39900
240,25.814812,-80.305176,Florida,medium_residential,5.606077671,36,0.01,0.234,20.4621835,26600
241,25.804489,-80.247559,Florida,small_utility,5.664466381,36,5.0,0.236,10337.65115,13300000
242,25.794136,-80.189972,Florida,small_community,5.775526524,36,0.15,0.241,316.2100772,399000
243,27.169785,-98.943665,Texas,small_residential,5.747880936,39,0.005,0.239,10.48988271,13300
244,27.177288,-98.704376,Texas,large_community,5.825300217,39,5.0,0.243,10631.1729,13300000
245,27.177876,-98.684418,Texas,medium_residential,5.825300217,39,0.01,0.243,21.26234579,26600
246,27.178478,-98.66449,Texas,large_community,5.777421474,39,5.0,0.241,10543.79419,13300000
247,25.838959,-80.339783,Florida,large_utility,5.613239765,36,2000.0,0.234,4097665.028,5320000000
248,25.811432,-80.186157,Florida,medium_community,5.775526524,36,2.0,0.241,4216.134363,5320000
249,27.195026,-98.705048,Texas,small_residential,5.770179272,39,0.005,0.24,10.53057717,13300
250,27.195629,-98.685089,Texas,large_residential,5.770179272,39,0.015,0.24,31.59173151,39900
251,27.196217,-98.665161,Texas,medium_residential,5.75136137,39,0.01,0.24,20.992469,26600
252,25.85968,-80.355194,Florida,large_utility,5.613239765,36,2000.0,0.234,4097665.028,5320000000
253,25.828712,-80.182312,Florida,large_utility,5.775526524,36,2000.0,0.241,4216134.363,5320000000
254,25.825256,-80.163086,Florida,small_utility,5.775526524,36,5.0,0.241,10540.33591,13300000
255,25.876968,-80.351379,Florida,medium_utility,5.62449789,36,500.0,0.234,1026470.865,1330000000
256,25.845993,-80.178467,Florida,small_utility,5.789461613,36,5.0,0.241,10565.76744,13300000
257,25.842537,-80.159241,Florida,large_utility,5.802595615,36,2000.0,0.242,4235894.799,5320000000
258,27.229317,-98.746307,Texas,small_residential,5.735169888,39,0.005,0.239,10.46668505,13300
259,25.911339,-80.443726,Florida,medium_utility,5.548397541,36,500.0,0.231,1012582.551,1330000000
260,25.894272,-80.347595,Florida,small_community,5.62449789,36,0.15,0.234,307.9412595,399000
261,25.863281,-80.174622,Florida,large_community,5.789461613,36,5.0,0.241,10565.76744,13300000
262,27.239429,-98.986511,Texas,medium_utility,5.816857815,39,500.0,0.242,1061576.551,1330000000
263,27.240093,-98.966553,Texas,small_residential,5.816857815,39,0.005,0.242,10.61576551,13300
264,27.246452,-98.766968,Texas,large_community,5.798568249,39,5.0,0.242,10582.38705,13300000
265,27.247059,-98.747009,Texas,small_residential,5.73433733,39,0.005,0.239,10.46516563,13300
266,27.247662,-98.72702,Texas,small_community,5.73433733,39,0.15,0.239,313.9549688,399000
267,25.928635,-80.439941,Florida,large_residential,5.483583927,36,0.015,0.228,30.022622,39900
268,25.925247,-80.420715,Florida,large_residential,5.483583927,36,0.015,0.228,30.022622,39900
269,25.911568,-80.34375,Florida,medium_community,5.592875957,36,2.0,0.233,4082.799449,5320000
270,25.880562,-80.170776,Florida,medium_residential,5.799813747,36,0.01,0.242,21.16932018,26600
271,27.255836,-99.027191,Texas,medium_residential,5.843627453,39,0.01,0.243,21.3292402,26600
272,27.257175,-98.987244,Texas,small_residential,5.816857815,39,0.005,0.242,10.61576551,13300
273,27.257839,-98.967285,Texas,medium_residential,5.816857815,39,0.01,0.242,21.23153102,26600
274,27.258495,-98.947327,Texas,large_community,5.818783283,39,5.0,0.242,10619.27949,13300000
275,27.264198,-98.767639,Texas,medium_residential,5.798568249,39,0.01,0.242,21.16477411,26600
276,27.264805,-98.747681,Texas,large_residential,5.73433733,39,0.015,0.239,31.39549688,39900
277,27.265419,-98.727722,Texas,small_utility,5.73433733,39,5.0,0.239,10465.16563,13300000
278,25.945953,-80.436157,Florida,medium_community,5.483583927,36,2.0,0.228,4003.016267,5320000
279,25.932297,-80.359192,Florida,small_community,5.592875957,36,0.15,0.233,306.2099586,399000
280,25.928856,-80.339966,Florida,small_utility,5.592875957,36,5.0,0.233,10206.99862,13300000
281,27.272919,-99.047913,Texas,large_utility,5.80355978,39,2000.0,0.242,4236598.639,5320000000
282,27.27359,-99.027954,Texas,large_residential,5.805077076,39,0.015,0.242,31.78279699,39900
283,27.276237,-98.948059,Texas,small_residential,5.79346323,39,0.005,0.241,10.57307039,13300
284,27.276894,-98.928101,Texas,medium_utility,5.79346323,39,500.0,0.241,1057307.039,1330000000
285,27.27882,-98.868195,Texas,small_residential,5.793385029,39,0.005,0.241,10.57292768,13300
286,27.281948,-98.768341,Texas,small_community,5.852358341,39,0.15,0.244,320.4166192,399000
287,27.282551,-98.748352,Texas,medium_community,5.812918186,39,2.0,0.242,4243.430276,5320000
288,27.283157,-98.728394,Texas,medium_utility,5.812918186,39,500.0,0.242,1060857.569,1330000000
289,27.294647,-98.928833,Texas,large_residential,5.79346323,39,0.015,0.241,31.71921118,39900
