id,lat,long,state,farm_type,irradiance,lcoe,capacity,capacity_factor,array_area,available_solar_resource,generated_energy,cost
108,26.512589,-98.976044,Texas,medium_community,5.865236759,39,2,0.244,33540.21663,8.196721311,2452.8,1913184
109,26.513885,-98.936523,Texas,large_residential,5.847581863,39,0.015,0.244,252.3111041,0.06147541,18.396,14348.88
110,26.514542,-98.916779,Texas,large_utility,5.747884274,39,2000,0.239,34940999.25,8368.200837,2452800,1913184000
111,26.539116,-98.027374,Texas,large_residential,5.674033642,39,0.015,0.236,268.8429123,0.063559322,18.396,14348.88
112,26.539562,-98.007599,Texas,small_community,5.674033642,39,0.15,0.236,2688.429123,0.63559322,183.96,143488.8
113,25.230484,-80.650879,Florida,large_residential,5.743431568,36,0.015,0.239,262.2606595,0.062761506,18.396,13245.12
114,26.530258,-98.976776,Texas,medium_residential,5.865236759,39,0.01,0.244,167.7010831,0.040983607,12.264,9565.92
115,26.531563,-98.937256,Texas,medium_residential,5.847581863,39,0.01,0.244,168.2074027,0.040983607,12.264,9565.92
116,26.532219,-98.91748,Texas,small_residential,5.747884274,39,0.005,0.239,87.35249811,0.020920502,6.132,4782.96
117,26.549255,-98.937988,Texas,small_community,5.847581863,39,0.15,0.244,2523.111041,0.614754098,183.96,143488.8
118,26.549889,-98.918213,Texas,small_residential,5.747884274,39,0.005,0.239,87.35249811,0.020920502,6.132,4782.96
119,26.550545,-98.898438,Texas,medium_utility,5.785480022,39,500,0.241,8606464.966,2074.688797,613200,478296000
120,26.566936,-98.938721,Texas,large_community,5.886380672,39,5,0.245,83208.33219,20.40816327,6132,4782960
121,26.567585,-98.918945,Texas,medium_utility,5.785480022,39,500,0.241,8606464.966,2074.688797,613200,478296000
122,26.568222,-98.89917,Texas,large_community,5.785480022,39,5,0.241,86064.64966,20.74688797,6132,4782960
123,25.248528,-80.449097,Florida,large_residential,5.944894791,36,0.015,0.248,244.1780644,0.060483871,18.396,13245.12
124,26.584621,-98.939453,Texas,large_community,5.886380672,39,5,0.245,83208.33219,20.40816327,6132,4782960
125,26.585262,-98.919647,Texas,small_residential,5.785480022,39,0.005,0.241,86.06464966,0.020746888,6.132,4782.96
126,26.585911,-98.899872,Texas,small_residential,5.785480022,39,0.005,0.241,86.06464966,0.020746888,6.132,4782.96
127,26.588432,-98.82077,Texas,large_community,5.806488514,39,5,0.242,85398.90631,20.66115702,6132,4782960
128,26.589054,-98.800995,Texas,large_utility,5.806488514,39,2000,0.242,34159562.52,8264.46281,2452800,1913184000
129,26.614948,-97.79187,Texas,large_utility,5.634592056,39,2000,0.235,36250240.85,8510.638298,2452800,1913184000
130,25.368973,-81.037201,Florida,small_utility,5.651126385,36,5,0.235,90360.44553,21.27659574,6132,4415040
131,26.606121,-98.821472,Texas,large_utility,5.740752697,39,2000,0.239,34984405.48,8368.200837,2452800,1913184000
132,26.606743,-98.801697,Texas,medium_residential,5.740752697,39,0.01,0.239,174.9220274,0.041841004,12.264,9565.92
133,26.607365,-98.781891,Texas,medium_utility,5.778432369,39,500,0.241,8616961.823,2074.688797,613200,478296000
134,26.632248,-97.812134,Texas,small_utility,5.501383305,39,5,0.229,95251.94632,21.83406114,6132,4782960
135,26.632645,-97.792328,Texas,large_community,5.531303883,39,5,0.23,94324.79963,21.73913043,6132,4782960
136,26.633026,-97.772522,Texas,medium_utility,5.531303883,39,500,0.23,9432479.963,2173.913043,613200,478296000
137,26.614647,-99.099182,Texas,large_community,5.842740536,39,5,0.243,84519.7827,20.57613169,6132,4782960
138,26.623817,-98.822174,Texas,medium_residential,5.740752697,39,0.01,0.239,174.9220274,0.041841004,12.264,9565.92
139,26.624439,-98.802368,Texas,small_utility,5.740752697,39,5,0.239,87461.01369,20.92050209,6132,4782960
140,26.649937,-97.812561,Texas,small_community,5.501383305,39,0.15,0.229,2857.55839,0.655021834,183.96,143488.8
141,26.650341,-97.792755,Texas,small_community,5.531303883,39,0.15,0.23,2829.743989,0.652173913,183.96,143488.8
142,25.410988,-80.968933,Florida,large_community,5.531114101,36,5,0.23,94328.03607,21.73913043,6132,4415040
143,25.424965,-80.946167,Florida,small_residential,5.590902805,36,0.005,0.233,92.11776294,0.021459227,6.132,4415.04
144,25.48896,-81.111206,Florida,medium_utility,5.622132778,36,500,0.234,9121458.583,2136.752137,613200,441504000
145,25.469383,-80.996338,Florida,large_residential,5.556755066,36,0.015,0.232,279.2500514,0.064655172,18.396,13245.12
146,25.553825,-81.177094,Florida,medium_utility,5.714177608,36,500,0.238,8823696.344,2100.840336,613200,441504000
147,26.797115,-97.518494,Texas,large_community,5.649629593,39,5,0.235,90384.38529,21.27659574,6132,4782960
148,26.797783,-97.478821,Texas,large_utility,5.576107502,39,2000,0.232,37104118.18,8620.689655,2452800,1913184000
149,26.814491,-97.538727,Texas,medium_utility,5.700791836,39,500,0.238,8844414.867,2100.840336,613200,478296000
150,26.831867,-97.55896,Texas,medium_residential,5.515506744,39,0.01,0.23,189.1899166,0.043478261,12.264,9565.92
151,26.84959,-97.559357,Texas,small_community,5.515506744,39,0.15,0.23,2837.848749,0.652173913,183.96,143488.8
152,26.86731,-97.559753,Texas,large_residential,5.515506744,39,0.015,0.23,283.7848749,0.065217391,18.396,14348.88
153,25.620811,-81.043976,Florida,small_community,5.564688206,36,0.15,0.232,2788.519465,0.646551724,183.96,132451.2
154,26.885033,-97.56012,Texas,small_community,5.645912647,39,0.15,0.235,2713.316676,0.638297872,183.96,143488.8
155,25.531357,-80.427124,Florida,large_community,5.736292362,36,5,0.239,87529.02023,20.92050209,6132,4415040
